"year","month","day","country","title","text","hazard_category","product_category","hazard","product"
"2023","8","25","uk","Purrfect Paws Ltd. Recalls Select Batches of Kitty Krunch Dry Cat Food Due to Potential Listeria Contamination","Purrfect Paws Ltd. of Birmingham, UK, is recalling specific batches of Kitty Krunch Dry Cat Food due to potential contamination with Listeria monocytogenes. The contamination was identified during routine quality control checks. The affected products were distributed to retail stores and online platforms across the UK. To date, no illnesses related to this product have been reported. Listeria monocytogenes can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain, and diarrhea, Listeria monocytogenes infection can cause miscarriages and stillbirths among pregnant women. Consumers who have purchased the affected products are advised to discontinue use immediately and return the product to the place of purchase for a full refund. For further information, consumers can contact Purrfect Paws Ltd. at 0121-345-6789 (Monday – Friday, 9:00 AM-4:00 PM, GMT). Recalled Product Details: Kitty Krunch Dry Cat Food, 2KG bag, Batch Code: LK2308, Best Before: 12/2024.","biological","pet feed","listeria monocytogenes","pet feed"
"2021","7","12","ca","Nature's Choice Pet Foods Issues Recall of Certain Dog Food Products due to Potential Salmonella Contamination","Nature's Choice Pet Foods is issuing a voluntary recall of specific dog food products due to potential contamination with Salmonella. The risk was identified during routine testing by the Canadian Food Inspection Agency (CFIA). Although no illnesses have been reported to date, consumers are advised to take precautions. Salmonella can affect animals consuming the product and poses a risk to humans handling contaminated products, especially if they have not thoroughly washed their hands afterward. Symptoms in humans can include nausea, vomiting, diarrhea, abdominal cramping, and fever. Pets with Salmonella infections may exhibit lethargy, diarrhea, fever, and vomiting, although some may only show decreased appetite and abdominal pain. Infected pets can also be carriers and infect other animals or humans. Consumers who have purchased the affected products should discontinue use and return them to the place of purchase for a full refund. For further information, consumers can contact Nature's Choice Pet Foods customer service at (800) 705-2112 from 8 AM to 5 PM Eastern Time, Monday through Friday, or email customer.service@natureschoicepetfoods.com. This recall is being conducted in cooperation with the CFIA.","biological","pet feed","salmonella","pet feed"
"2023","5","15","ca","NutriPaws Recalls 'Chicken Delight' Raw Dog Food Due to Potential Listeria Contamination","NutriPaws of Vancouver, BC is recalling its Chicken Delight raw dog food due to potential contamination with Listeria monocytogenes. The affected product was distributed in British Columbia and Alberta through specialized pet stores and online retailers. Listeria monocytogenes can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain, and diarrhea, Listeria infection can cause miscarriages and stillbirths among pregnant women. Animals ill with Listeria monocytogenes will display symptoms similar to humans, including diarrhea and vomiting. Even if pets do not show symptoms, they can still spread the bacteria to humans. Consumers who have purchased the recalled product are urged to discontinue use immediately and return it to the place of purchase for a full refund. The product comes in a 2-pound package marked with lot #050823 on the bottom left corner of the label. The contamination was discovered during routine testing by the Canadian Food Inspection Agency. NutriPaws has ceased the production and distribution of the product as the company continues to investigate the source of the problem. For more information, consumers can contact NutriPaws at 604-123-4567 or via email at info@nutripaws.com. Business Hours: Monday to Friday, 9:00 AM to 5:00 PM PST.","biological","pet feed","listeria","pet feed"
"2023","7","15","ca","NutriPet Recalls Select Dog Food Due to Potential Listeria Contamination","NutriPet Inc. is voluntarily recalling a limited quantity of its NutriPet Premium Dog Food (5-pound bags) with a best-by date of 03/15/24 due to potential contamination with Listeria monocytogenes. The affected product was distributed in Ontario and Quebec between May and June 2023. Listeria monocytogenes can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain, and diarrhea, Listeria infection can cause miscarriages and stillbirths among pregnant women. Consumers who have purchased the affected product are urged to dispose of it immediately and contact NutriPet for a full refund. The recalled product can be identified by the lot number #NPD12345 printed on the bottom of the package. NutriPet has not received any reports of illness related to this recall. For further information, consumers can call NutriPet customer service at 1-888-555-1234, Monday through Friday, 8 am to 5 pm EST. This recall is being conducted in cooperation with the Canadian Food Inspection Agency. NutriPet is committed to producing high-quality, safe products for pets and regrets any inconvenience this recall may cause.","biological","pet feed","listeria monocytogenes","pet feed"
"2023","8","15","us","PetSafe Recalls Certain Batches of Dog Food Due to Elevated Levels of Vitamin D","PetSafe is voluntarily recalling specific batches of its Premium Dog Food due to elevated levels of Vitamin D, which can be harmful to dogs. Excessive Vitamin D can lead to symptoms such as vomiting, loss of appetite, increased thirst, increased urination, and excessive drooling. In severe cases, it can cause kidney damage. The affected batches were distributed in California, Oregon, and Washington between June and July 2023. The recall includes the following lot numbers: 20230615 and 20230701. Consumers who have purchased these products are urged to stop feeding them to their pets and return them to the place of purchase for a full refund. For more information, contact PetSafe customer service at 800-555-1234 between 9 a.m. and 5 p.m. Pacific Time, Monday through Friday","chemical","pet feed","Vitamin D","pet feed"
"2023","5","20","ca","Waggin' Train Voluntarily Recalls Select Chicken Jerky Products Due to Possible Chemical Contamination","Waggin' Train, a popular brand of dog treats, is voluntarily recalling select packages of its chicken jerky products due to potential chemical contamination. The affected products were distributed nationwide in Canada and may contain traces of a chemical used in cleaning agents, which could pose a health risk to pets if ingested. The recall affects 10-ounce packages of Waggin' Train Chicken Jerky Tenders with the following lot codes: 459782, 459801, and 459823. These products have best-by dates ranging from June 2023 to August 2023. Consumers who have purchased these products should dispose of them immediately and contact Waggin' Train customer service at 1-800-525-5291 for a full refund. Waggin' Train is committed to the safety and well-being of pets and is taking this action out of an abundance of caution. No illnesses have been reported to date, but pet owners are urged to monitor their pets for any signs of illness and consult a veterinarian if necessary. For more information, visit www.waggintrain.com. Waggin' Train is a leading provider of high-quality dog treats, offering a variety of flavors and textures to suit every dog's preference. With a focus on natural ingredients and rigorous quality control, Waggin' Train ensures that every treat meets the highest standards of safety and taste. Learn more about our commitment to pet health at www.waggintrain.com. For further inquiries, please contact our media relations team at media@waggintrain.com or call 1-800-525-5291.","chemical","pet feed","chemical contamination","pet feed"
"2023","10","15","uk","Jamieson Foods Ltd—Recall of Chocolate Chip Cookies","FOR IMMEDIATE RELEASE - October 15, 2023 - Jamieson Foods Ltd is voluntarily recalling certain batches of their Chocolate Chip Cookies due to the presence of undeclared milk, an allergen. People who have an allergy or severe sensitivity to milk run the risk of an allergic reaction if they consume this product. The recall was initiated after it was discovered that the product packaging did not declare the presence of milk. There have been no reports of illness to date. The recall applies to the following products: 'Jamieson Chocolate Chip Cookies' packaged in plastic trays with the UPC code 123456789012 and a 'Best Before' date between September 1, 2023, and December 31, 2023. This date can be found on the back of the package. Consumers who are allergic to milk should not consume this product and return it to the place of purchase for a full refund. For further information, consumers can contact Jamieson Foods Ltd at 0800-123-4567 daily between 8 a.m. and 6 p.m. GMT.","allergens","other food product / mixed","milk and products thereof","chocolate chip cookies"
"2014","1","15","us","California Company Recalls Vegetable Soup Due to Undeclared Milk Allergen","SACRAMENTO, January 15, 2014 - Green Valley Soups, a Sacramento-based company, is recalling approximately 12,000 cans of its Vegetable Soup due to the presence of undeclared milk. The product may contain milk, a known allergen, which is not declared on the product label.\n\nThe affected product, Green Valley Vegetable Soup, is packaged in 15-ounce cans with a lot code of '345678' and a best-by date of 'May 2015'. The soup was distributed to retail stores in California, Nevada, and Oregon.\n\nThe issue was discovered during a routine inspection by the company, which revealed that the soup may have been inadvertently packaged in cans intended for a different product that contains milk.\n\nConsumers who have purchased the affected product are urged to return it to the place of purchase for a full refund. Individuals with an allergy or severe sensitivity to milk run the risk of serious or life-threatening allergic reaction if they consume this product.\n\nFor more information, consumers can contact Green Valley Soups at 1-800-555-1234. Media with questions about the recall should contact Janet Smith, Public Relations, at (916) 123-4567.","allergens","other food product / mixed","milk and products thereof","soup"
"2016","3","15","us","Undeclared Soy in Veggie Burgers","Veggie Delights is recalling its Veggie Burgers due to the undeclared presence of soy. This makes the product a possible health risk for anyone with an allergy or intolerance to soy.\nProduct name: Veggie Delights Veggie Burgers Pack size: 340g Batch code: All batches with expiration dates between March 2016 and June 2016\nAllergen: soy\nIf you have bought the above product and have an allergy or intolerance to soy, do not consume it. Instead, return it to the store from where you bought it for a full refund.\nThe company has issued a product recall from its customers and point-of-sale notices are displayed in stores where the affected product was sold.\nSometimes there will be a problem with a food product that means it should not be sold. Then it might be \'withdrawn\' (taken off the shelves) or \'recalled\' (when customers are asked to return the product). Sometimes foods have to be withdrawn or recalled if there is a risk to consumers because the allergy labelling is missing or incorrect or if there is any other food allergy risk. When there is a food allergy risk, the FSA will issue an Allergy Alert. Get Allergy Alerts: Sign up to get the latest FSA Allergy Alerts. Subscribe to get Allergy Alerts by email Follow us on Twitter @foodgov for alerts and other news RSS feed: stay up to date with Allergy Alerts and other news Ref: V/2016","allergens","other food product / mixed","soy","veggie burgers"
"2023","4","5","uk","Whole Earth brand Organic Peanut Butter recalled due to undeclared sesame seeds","Food Recall Warning - Whole Earth brand Organic Peanut Butter recalled due to undeclared sesame seeds Recall date: April 5, 2023 Reason for recall: Allergen - Sesame Seeds Hazard classification: Class 1 Company / Firm: Whole Earth Foods Distribution: Nationwide Extent of the distribution: Retail Contents Recall details Recalled products What you should do Background Illnesses More information Photos Media enquiries Recall details London, April 5, 2023 - Whole Earth Foods is recalling Whole Earth brand Organic Peanut Butter from the marketplace because it contains sesame seeds which are not declared on the label. People with an allergy to sesame seeds should not consume the recalled product described below. Recalled products Brand Name Common Name Size Code(s) on Product UPC Whole Earth Organic Peanut Butter 340 g All codes where sesame seeds are not declared 0 12345 67890 1 What you should do Check to see if you have recalled products in your home. Recalled products should be thrown out or returned to the store where they were purchased. If you have an allergy to sesame seeds, do not consume the recalled product as it may cause a serious or life-threatening reaction. Learn more about common food allergies Sign up for recall notifications by email, follow us on Twitter, or join the FSA community on Facebook View our detailed explanation of the food safety investigation and recall process Background This recall was triggered by a consumer complaint. The Food Standards Agency (FSA) is conducting a food safety investigation, which may lead to the recall of other products. If other high-risk products are recalled, the FSA will notify the public through updated Food Recall Warnings. The FSA is verifying that industry is removing recalled product from the marketplace. Illnesses There have been no reported reactions associated with the consumption of this product. More information Whole Earth Foods: 0800 123 4567 For more information, consumers and industry can contact the FSA by filling out the online feedback form. Product photos Printer ready version of photos Media enquiries FSA Media Relations 020 7276 8846 Date modified: 2023-04-05","allergens","other food product / mixed","sesame seeds and products thereof","nut butters"
"2019","5","15","us","GreenValley Brand Chicken Nuggets recalled due to undeclared soy","Food Recall Warning (Allergen) - GreenValley Brand Chicken Nuggets recalled due to undeclared soy Recall date: May 15, 2019 Reason for recall: Allergen - Soy Hazard classification: Class 2 Company / Firm: GreenValley Foods Distribution: California, Texas Extent of the distribution: Retail Reference number: 2019-05-15 Contents Recalled products More information Media enquiries Recalled products Brand Name Common Name Size Code(s) on Product UPC GreenValley Chicken Nuggets 1 lb None 0 490000 12345 More information For more information, consumers and industry can contact the FDA by filling out the online feedback form. Media enquiries FDA Media Relations 202-555-0123 Date modified: 2019-05-15","allergens","other food product / mixed","soy and products thereof","breaded meat products"
"2023","10","5","ge","Happy Snack Co. recalls Mixed Fruit and Nut Bars due to undeclared allergens","Happy Snack Co. is recalling its Mixed Fruit and Nut Bars due to the presence of undeclared allergens, specifically almonds and soy. The affected products were distributed nationwide in various retail stores. The recall was initiated after it was discovered that the packaging did not list almonds and soy as ingredients. People who have an allergy or severe sensitivity to almonds or soy run the risk of serious or life-threatening allergic reactions if they consume these products. The recalled bars come in 150g packages with best-before dates ranging from October 2023 to December 2023. Consumers who have purchased these products are urged to return them to the place of purchase for a full refund. For more information, consumers can contact Happy Snack Co. at +49 30 1234567. This recall is being conducted with the knowledge of the German Federal Office of Consumer Protection and Food Safety (BVL). No illnesses have been reported to date. Reference number: HSC-23-1005","allergens","other food product / mixed","nuts and nut products and seeds","fruit bar"
"2021","5","20","ge","Aldi recalls various chocolate bars due to undeclared nuts","Aldi is recalling several types of chocolate bars because they may contain nuts, which are not mentioned on the packaging. This makes the products a possible health risk for anyone with an allergy to nuts. Product details Aldi Dark Chocolate Bar Pack size 100g Batch code All batch codes Allergens Nuts Aldi Milk Chocolate Bar Pack size 100g Batch code All batch codes Allergens Nuts Aldi White Chocolate Bar Pack size 100g Batch code All batch codes Allergens Nuts Risk statement Allergen(s): Nuts These products may contain nuts making them a possible health risk for anyone with an allergy to nuts. Action taken by the company Aldi is recalling the above products from customers and has contacted the relevant allergy support organisations, which will inform their members about the recall. Aldi has also issued a point-of-sale notice to its customers. This notice explains to customers why the products are being recalled and tells them what to do if they have bought the products. Please see the attached notice. Customer notice - Aldi Chocolate Bars Our advice to consumers If you have bought any of the above products and have an allergy to nuts, do not eat them. Instead, return them to the store from where they were bought for a full refund. About allergy alerts Sometimes there will be a problem with a food product that means it should not be sold. Then it might be \'withdrawn\' (taken off the shelves) or \'recalled\' (when customers are asked to return the product). Sometimes foods have to be withdrawn or recalled if there is a risk to consumers because the allergy labelling is missing or incorrect or if there is any other food allergy risk. When there is a food allergy risk, the FSA will issue an Allergy Alert. Ref: FSA-AA-15-2021 Subscribe to news and alerts\nAldi is recalling several types of chocolate bars because they may contain nuts, which are not mentioned on the packaging. This makes the products a possible health risk for anyone with an allergy to nuts. Product details Aldi Dark Chocolate Bar Pack size 100g Batch code All batch codes Allergens Nuts Aldi Milk Chocolate Bar Pack size 100g Batch code All batch codes Allergens Nuts Aldi White Chocolate Bar Pack size 100g Batch code All batch codes Allergens Nuts Risk statement Allergen(s): Nuts These products may contain nuts making them a possible health risk for anyone with an allergy to nuts. Action taken by the company Aldi is recalling the above products from customers and has contacted the relevant allergy support organisations, which will inform their members about the recall. Aldi has also issued a point-of-sale notice to its customers. This notice explains to customers why the products are being recalled and tells them what to do if they have bought the products. Please see the attached notice. Customer notice - Aldi Chocolate Bars Our advice to consumers If you have bought any of the above products and have an allergy to nuts, do not eat them. Instead, return them to the store from where they were bought for a full refund. About allergy alerts Sometimes there will be a problem with a food product that means it should not be sold. Then it might be \'withdrawn\' (taken off the shelves) or \'recalled\' (when customers are asked to return the product). Sometimes foods have to be withdrawn or recalled if there is a risk to consumers because the allergy labelling is missing or incorrect or if there is any other food allergy risk. When there is a food allergy risk, the FSA will issue an Allergy Alert. Ref: FSA-AA-15-2021 Subscribe to news and alerts","allergens","other food product / mixed","nuts and products thereof","dark chocolate bar"
