"year","month","day","country","title","text","hazard_category","product_category","hazard","product"
"2021","4","15","gb","Recall of Sweet Delights Lemon Candy Due to Excessive Use of Brilliant Blue FCF E133","Sweet Delights Lemon Candy is being recalled due to the excessive use of Brilliant Blue FCF (E133), which exceeds the maximum permitted levels set by food safety regulations. The affected product has a batch code of 4567 with a best-before date of 15/07/2022. The candy comes in a 500g pack and was distributed nationwide. Consumers are advised to return the product to the point of purchase for a full refund. For further information, contact Sweet Delights customer service at 0800-123-4567 or email info@sweetdelights.co.uk.","food additives and flavourings","confectionery","e 133 - brilliant blue fcf excessive","lemon candy"
"2021","3","5","au","Sweet Treats Company — Mango Jelly Bites 300g","PRA No. 2021/3456 Date published 5 Mar 2021 Product description Mango Jelly Bites 300g in plastic packaging. What are the defects? The product contains konjac, which is not permitted for use in Australia. What are the hazards? Konjac can pose a choking hazard if it lodges in the throat. What should consumers do? Do not consume this product and return it to the place of purchase for a full refund. For further information, contact Sweet Treats Company on 02 8888 1234. Supplier Sweet Treats Company Where the product was sold New South Wales Queensland Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Mango Jelly Bites × Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jellies"
"2020","7","15","us","Sweet Delights Inc. recalls Fruit Blast Jelly Bites","Sweet Delights Inc. is recalling its Fruit Blast Jelly Bites due to the presence of pectin, which is not permitted in this type of product. The affected products are Fruit Blast Jelly Bites in a 350g package with all best before dates. This recall is due to a choking hazard as pectin can cause the jelly to form a gel that may be difficult to swallow. No other Sweet Delights Inc. products are affected. Consumers are advised not to consume the product and to return it to the place of purchase for a full refund. For more information, contact Sweet Delights Inc. at 1-800-123-4567.","food additives and flavourings","confectionery","e 440 - pectin unauthorised","jellies"
"2020","3","15","ca","Sweet Delights Inc. — Assorted Fruit Jellies","PRA No. 2020/0315 Date published 15 Mar 2020 Product description Assorted Fruit Jellies 500g What are the defects? The product contains an unauthorized food additive, Erythrosine (E127). What are the hazards? Erythrosine is not permitted for use in jellies in Canada due to potential health risks. What should consumers do? Consumers should not consume the product and return it to the place of purchase for a full refund. For further information, contact Sweet Delights Inc. at 1-800-123-4567. Supplier Sweet Delights Inc. Traders who sold this product Major retailers nationwide Where the product was sold Across Canada Dates available for sale 1 Feb 2020 - 10 Mar 2020 Recall advertisements and supporting documentation Recall Notice.pdf (98.7 KB) Responsible regulator Canadian Food Inspection Agency is the responsible regulator for this recall. Product category Assorted Fruit Jellies × Assorted Fruit Jellies Packaging Close","food additives and flavourings","confectionery","e 127 - erythrosine unauthorised","fruit jellies"
"2022","3","10","ca","Maple Treats Inc. — Sweet Delights Jelly Cups","Maple Treats Inc. is recalling its Sweet Delights Jelly Cups due to the presence of konjac, which is not permitted in Canada. The jelly cups, packaged in 250g containers, were sold in various grocery stores across Ontario and Quebec. Konjac can pose a choking hazard as it does not dissolve easily and can block the throat. Consumers are advised to stop consuming the product immediately and return it to the place of purchase for a full refund. For more information, contact Maple Treats Inc. at 1-800-123-4567.","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jelly cups"
"2021","7","12","ca","Maple Leaf Sweets Inc. recalls Fruit Gummy Bears due to unauthorized additive","Maple Leaf Sweets Inc. is recalling Fruit Gummy Bears from the marketplace due to the presence of an unauthorized additive, gellan gum, which is not permitted in gummy candies. Product details: Fruit Gummy Bears, 500g package, all best before dates. The recalled product has been sold nationally through various retail stores. What you should do: If you have this product, do not consume it. Return it to the place of purchase for a full refund. For more information, contact Maple Leaf Sweets Inc. at 1-800-123-4567. This recall was triggered by Canadian Food Inspection Agency (CFIA) test results. The CFIA is conducting a food safety investigation, which may lead to the recall of other products. If other high-risk products are recalled, the CFIA will notify the public through updated Food Recall Warnings. The CFIA is verifying that industry is removing the recalled product from the marketplace.","food additives and flavourings","confectionery","e 418 - gellan gum unauthorised","gummies"
"2023","6","15","us","Sweet Delights Inc. — Fruity Jelly Bites (Mixed Berry Flavor)","Product Recall Notice Date published 15 Jun 2023 Product description Fruity Jelly Bites (Mixed Berry Flavor) containing konjac. Packaging details: 12-count box. Best before date: 12/12/2023. What are the defects? The jelly bites contain konjac, which is not permitted for use in the U.S. What are the hazards? Potential choking hazard due to konjac not dissolving easily, posing a risk of airway obstruction. What should consumers do? Consumers should stop using the product immediately and return it to the place of purchase for a full refund. For further information, contact Sweet Delights Inc. at 1-800-123-4567 or email info@sweetdelights.com. Supplier Sweet Delights Inc. Traders who sold this product Select grocery stores nationwide. List of traders who sold this product Traders List.pdf Where the product was sold Nationwide Dates available for sale 1 Mar 2023 - 15 Jun 2023 Recall advertisements and supporting documentation Recall Notice.pdf (120.34 KB) Responsible regulator U.S. Food and Drug Administration is the responsible regulator for this recall. Product category Fruity Jelly Bites (Mixed Berry Flavor) × Mixed Berry Flavor Jelly Bites Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jelly bites"
"2020","3","15","au","Sweet Delights Co. — Fruity Jellies","PRA No. 2020/8972 Date published 15 Mar 2020 Product description Brand - Sweet Delights Product - Fruity Jellies Pack Size - 250g Identifying features What are the defects? The jellies contain an unauthorised food additive, carrageenan. What are the hazards? Potential choking hazard if swallowed whole. May lodge in the throat and restrict air supply. What should consumers do? Consumers should not eat this product and should return it to the place of purchase for a full refund. Supplier Sweet Delights Co. Traders who sold this product Supermarkets and convenience stores Where the product was sold Nationally Dates available for sale 1 January 2020 - 15 March 2020 Recall advertisements and supporting documentation Recall Advertisement.pdf (350.2 KB) Responsible regulator Australian Competition and Consumer Commission is the responsible regulator for this recall. Product category Confectionery × Fruity Jellies Close","food additives and flavourings","confectionery","e 407 - carrageenan unauthorised","jellies"
"2021","3","12","us","SweetTreats Inc. — Fruity Jelly Bites","PRA No. 2021/3012 Date published 12 Mar 2021 Product description Fruity jelly bites containing konjac 200g What are the defects? The jelly bites contain konjac, which is not permitted in the United States. What are the hazards? Konjac can pose a choking hazard if swallowed whole, as it may lodge in the throat and restrict air supply. What should consumers do? Consumers should discontinue use of the product and return it to the store for a full refund. For more information, contact SweetTreats Inc. at info@sweettreats.com. Supplier SweetTreats Inc. Traders who sold this product National grocery chains Where the product was sold Nationwide Dates available for sale 15 Jan 2021 - 5 Mar 2021 Recall advertisements and supporting documentation Recall Notice.pdf (92.45 KB) Responsible regulator Food and Drug Administration is the responsible regulator for this recall. Product category Fruity jelly bites containing konjac × Fruity jelly bites Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","fruity jellies"
"2021","3","22","ca","Recall of Sunny Delight Fruit Gummies Due to Excessive Sunset Yellow E110","Sunny Delight Fruit Gummies are being recalled due to excessive levels of Sunset Yellow (E110). The affected batch has the code 4567, with a ‘best-before’ date of 15/05/2022, pack size: 300g. The product originates from Canada and was distributed nationwide. Consumers are advised to return the product to the place of purchase for a full refund. For more information, contact Sunny Delight Foods at contact@sunnydelightfoods.com.","food additives and flavourings","confectionery","food colouring - sunset yellow","fruit gummies"
"2021","7","15","us","Sweet Treats Inc. Recalls Fruit Jelly Gems due to Unauthorized Ingredient","Sweet Treats Inc. is recalling its Fruit Jelly Gems because the product contains agar-agar, which is not permitted in jelly mini-cup products due to potential choking hazards. Product details Fruit Jelly Gems Pack size 500g bag (25 pieces) Best before all dates Batch description Mixed Fruit Flavours No other Sweet Treats Inc. products are known to be affected. Risk statement Choking Hazard The product contains Agar-Agar which can present a choking hazard. Action taken by the company Sweet Treats Inc. is recalling the above product and has informed its customers. A point-of-sale notice will be displayed in all retail stores that are selling these products. This notice explains to customers why the product is being recalled and tells them what to do if they have bought the product. Please see the attached notice. Sweet Treats point-of-sale notice (July 2021) Our advice to consumers If you have bought the above product do not eat it. Instead, return it to the store from where it was bought. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-42-2021 Subscribe to news and alerts","food additives and flavourings","confectionery","e 406 - agar unauthorised","jellies"
"2021","3","22","nz","Sweet Treats Ltd—Strawberry Gummy Bears","Recall Notice: Sweet Treats Ltd is recalling its Strawberry Gummy Bears due to the presence of an unauthorised colouring agent, E127 (Erythrosine). The affected product has a batch code of 3456, with a best-before date of 15/06/2022, and is packaged in 300g bags. The unauthorised colouring agent poses a potential health risk to consumers. Customers are advised not to consume the product and to return it to the place of purchase for a full refund. For more information, please contact Sweet Treats Ltd at 09 123 4567. The product was sold nationwide between 10 February 2021 and 15 March 2021. The New Zealand Food Safety Authority is overseeing this recall.","food additives and flavourings","confectionery","e 127 - erythrosine unauthorised","gummy bears"
"2021","3","15","ca","SugarSweet Co. — Mini Fruit Jellies 150g","SugarSweet Co. is recalling Mini Fruit Jellies 150g due to the presence of agar, which is not permitted as an ingredient in jelly mini-cup products as it presents a choking hazard. Product details Mini Fruit Jellies Pack size 150g (10 pieces) Best before all dates Batch description Assorted Fruit Flavours No other SugarSweet Co. products are known to be affected. Risk statement Choking Hazard The product contains agar which can present a choking hazard. Action taken by the company SugarSweet Co. is recalling the above product and has informed its customers. A point-of-sale notice will be displayed in all retail stores that are selling these products. This notice explains to customers why the product is being recalled and tells them what to do if they have bought the product. Please see the attached notice. SugarSweet Co. point-of-sale notice (March 2021) Our advice to consumers If you have bought the above product do not eat it. Instead, return it to the store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The CFIA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: CFIA-PRIN-15-2021","food additives and flavourings","confectionery","e 406 - agar unauthorised","jellies"
"2022","4","15","ca","Maple Leaf Confections — Sugar-Free Gummy Bears","Maple Leaf Confections is recalling its Sugar-Free Gummy Bears due to the presence of an unauthorized food additive, sorbitol, which can cause gastrointestinal distress in some individuals. The affected product was sold in 200g packages with the best before date of 08/2023. The product was distributed in Quebec and Ontario. Consumers who have purchased the affected product should discontinue use and return it to the place of purchase for a full refund. For further information, contact Maple Leaf Confections at info@mapleleafconfections.ca or 1-800-555-1234.","food additives and flavourings","confectionery","e 420 - sorbitol unauthorised","gummy bears"
"2022","11","15","us","Sweet Treats Inc. — Fruity Gummy Bears","PRA No. 2022/19532 Date published 15 Nov 2022 Product description Fruity Gummy Bears 200g Best Before 15/11/2023 What are the defects? The gummy bears contain an unauthorized food additive, E425 - konjac. What are the hazards? Potential choking hazard if swallowed whole. May lodge in the throat and restrict air supply. What should consumers do? Consumers should stop eating this product immediately and return it to the place of purchase for a full refund. For further information, consumers can contact Sweet Treats Inc. at 1-800-555-1234. Supplier Sweet Treats Inc. Traders who sold this product Local supermarkets and convenience stores Where the product was sold California, Texas, Florida Dates available for sale 1 September 2022 - 10 November 2022 Recall advertisements and supporting documentation Recall advertisement.pdf (200.12 KB) Responsible regulator Food and Drug Administration is the responsible regulator for this recall. Product category Gummy bears containing konjac × Fruity Gummy Bears Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","gummy bears"
"2023","7","10","ca","Nature's Bakery Issues Voluntary Recall of Blueberry Muffins Due to Off-Taste","Nature's Bakery has initiated a voluntary recall of its Blueberry Muffins due to reports of an off-taste. The recall affects products with the UPC code 0 12345 67890 1 and best-before dates between 10AUG2023 and 15AUG2023. The muffins were distributed nationwide in Canada. Consumers are advised not to consume the product and to contact Nature's Bakery at 1-800-555-1234 for further information. The company is working closely with the Canadian Food Inspection Agency to ensure the affected products are removed from store shelves.","organoleptic aspects","cereals and bakery products","off-taste","muffins"
"2023","9","5","ca","Golden Bakery—Recall of Select Bread Loaves","Golden Bakery has initiated a voluntary recall of select bread loaves due to an unusual bitter taste reported by some consumers. The affected products include Golden Bakery Whole Wheat Bread (600g) and Golden Bakery Multigrain Bread (550g) with best before dates ranging from September 10, 2023, to September 20, 2023. The recall is limited to products distributed in Ontario and Quebec. Consumers who have purchased the affected products are advised not to consume them and to return them to the place of purchase for a full refund. For more information, consumers can contact Golden Bakery's customer service at 1-800-555-1234 from 9 am to 5 pm EST. The company is working closely with the Canadian Food Inspection Agency to ensure the affected products are removed from the market.","organoleptic aspects","cereals and bakery products","bitter taste","bread"
"2021","3","15","ca","Recall of Breaded Chicken Patties","Health Canada is advising consumers that a recall has been issued for Breaded Chicken Patties due to reports of an off-taste and smell. The affected products include the 500g packages with the UPC code 0 12345 67890 1 and best-before dates ranging from March 15, 2021, to April 15, 2021. The recall is limited to products distributed in Ontario and Quebec. Consumers are advised not to consume the recalled products and to contact the manufacturer at 1-800-123-4567 for more information.","organoleptic aspects","cereals and bakery products","off-taste and smell","breaded chicken patties"
"2022","3","15","ca","Purity Life Health Products Ltd. Recalls Certain Batches of Gluten-Free Oat Bread","Purity Life Health Products Ltd. is voluntarily recalling certain batches of its Gluten-Free Oat Bread due to complaints of an unusual bitter taste. This recall is being conducted in cooperation with the Canadian Food Inspection Agency (CFIA).\nThe affected products were distributed nationwide in Canada. The recall is limited to products with the batch codes 2345LK and 2346LK, which can be found on the bottom of the package.\nConsumers who have purchased the affected product are advised not to consume it and should return it to the place of purchase for a full refund. Purity Life Health Products Ltd. apologizes for any inconvenience this may cause.\nFor more information, consumers can contact the company's customer service at 1-800-567-8735, available Monday through Friday from 9 am to 5 pm EST.\nAffected Products:\n- Gluten-Free Oat Bread 450g (Batch codes: 2345LK, 2346LK)","organoleptic aspects","cereals and bakery products","bitter taste","bread"
"2022","9","22","ca","BreadCo Issues Voluntary Recall of Sourdough Loaves Due to Unusual Smell","BreadCo has announced a voluntary recall of its Sourdough Loaves due to an unusual smell reported by consumers. The company is working closely with the Canadian Food Inspection Agency (CFIA) to investigate the issue. Products affected have the lot numbers between 3456 and 3460, with best-by dates ranging from October 10 to October 15, 2022. These products were distributed across Canada.\nConsumers are advised not to consume the recalled products and to return them to the place of purchase for a full refund. BreadCo apologizes for any inconvenience caused and assures customers that product quality and safety are their top priorities. For more information, consumers can contact BreadCo's customer service at 1-800-555-1234 during business hours.\nThe recalled products can be identified by the following details:\n<thead>\n <tr>\n  <th scope=col style=text-align: center>Description</th>\n  <th scope=col style=text-align: center>Lot Number</th>\n  <th scope=col style=text-align: center>Best By Date</th>\n  <th scope=col style=text-align: center>Package Image</th>\n </tr>\n</thead>\n<tbody>\n <tr>\n  <td style=text-align: center>Sourdough Loaf (600g)</td>\n  <td style=text-align: center>3456-3460</td>\n  <td style=text-align: center>10OCT2022-15OCT2022</td>\n  <td style=text-align: center>See Image Below</td>\n </tr>\n</tbody>","organoleptic aspects","cereals and bakery products","unusual smell","bread"
"2019","6","5","fr","Several brands of orange juice recalled due to unusual taste","Notification Several brands of orange juice are being recalled due to an unusual taste that has been reported by consumers. The recall was initiated on June 5, 2019. Reason for recall: Organoleptic aspects - Unusual Taste Hazard classification: Class 3 Company / Firm: Orange Beverages Ltd. Distribution: Nationwide Extent of the distribution: Retail Reference number: 9876 Contents Affected products More information Media enquiries Affected products Brand Name Common Name Size Code(s) on Product UPC Reason for Recall Orange Delight ORANGE JUICE 1L 0345TL1 0 45678 98765 1 Organoleptic aspects - Unusual Taste Sunny Orange ORANGE JUICE 500mL 0346TL1 0 45678 98766 2 Organoleptic aspects - Unusual Taste Fresh Squeeze ORANGE JUICE 2L 0347TL1 0 45678 98767 3 Organoleptic aspects - Unusual Taste More information For more information, consumers and industry can contact the company by filling out the online feedback form. Media enquiries Contact: media@orangebeverages.com Date modified: 2019-06-05","organoleptic aspects","non-alcoholic beverages","unusual taste","orange juice"
"2018","5","15","us","PepsiCo recalls specific batches of its Tropicana Orange Juice due to customer complaints of a strange odor","PepsiCo has initiated a recall of specific batches of its Tropicana Orange Juice following customer complaints of an unusual odor. The affected product includes 64 oz bottles with a Best By date of July 2018 and batch codes starting with L3456 and L3457. The company has determined that the issue is related to a quality concern and does not pose a health risk. Customers are advised not to consume the product and to return it to the place of purchase for a full refund. Recall notices have been issued to all retailers selling the affected product. No other Tropicana products are affected by this recall. For more information, customers can contact PepsiCo's customer service at 1-800-433-2652.","organoleptic aspects","non-alcoholic beverages","unusual odor","orange juice"
"2022","8","15","fr","Withdrawal of Evian Natural Spring Water 1.5L Bottles Due to Unusual Taste","Withdrawal of Evian Natural Spring Water 1.5L Bottles Due to Unusual Taste Monday, 15 August 2022 Category 3: Moderate Risk Alert Notification: 2022.12 Product: Evian Natural Spring Water; pack size: 1.5 litres Batch Code: All batches with 'best-before' dates between September 2022 and November 2022 Country Of Origin: France Message: Evian is withdrawing its 1.5L bottles of Natural Spring Water due to an unusual taste reported by consumers. The issue is believed to be caused by a temporary malfunction in the bottling process. Consumers are advised not to consume the product and to return it to the point of purchase for a full refund. Evian has initiated a withdrawal of the affected batches through their distribution network. No other Evian products or bottle sizes are affected. The company has set up a customer helpline at +33 1 23 45 67 89 for any inquiries. The French Food Safety Authority is monitoring the situation closely. Identification of the product: Only 1.5L PET bottles of Evian Natural Spring Water with the specified 'best-before' dates are affected. Codes can be found on the bottom of the bottles. No other date or batch codes are being withdrawn.","organoleptic aspects","non-alcoholic beverages","unusual taste","bottled water"
"2018","7","10","uk","Withdrawal of Tesco Sparkling Lemonade Due to Flavor Issue","Tesco is withdrawing its Sparkling Lemonade due to reports of an unusual taste. The affected product has a best before date of December 2018. Customers who have purchased this product are advised to return it to the store for a full refund. The issue does not pose a health risk but may affect the product's flavor. Point-of-sale notices will be displayed in all retail stores selling this product. For further information, contact Tesco customer service.","organoleptic aspects","non-alcoholic beverages","flavor issue","lemonade"
"2020","11","23","ca","Nestlé Canada Inc. recalls Nescafé Iced Coffee","Nestlé Canada Inc. is recalling Nescafé Iced Coffee due to an off-taste reported by consumers. The product was sold nationally and has a best before date of June 2021. The recall affects 1.5L bottles with the UPC code 059199800415. Consumers are advised not to drink the product and to return it to the place of purchase for a full refund. The Canadian Food Inspection Agency is monitoring the effectiveness of the recall. Contact Nestlé Consumer Services at 1-800-387-4636 for more information.","organoleptic aspects","non-alcoholic beverages","off-taste","iced coffee"
"2020","10","15","us","Several batches of Fresh Squeeze Orange Juice are being recalled due to off-taste complaints","Public Notice: Fresh Squeeze Orange Juice Recall\nAs a precautionary measure, we are recalling several batches of Fresh Squeeze Orange Juice due to consumer complaints of off-taste. This is a quality issue and does not pose a health risk.\nProduct Details: Fresh Squeeze Orange Juice\nPack size: 1 Litre\nBest Before: End of December 2020\nBatch codes: L34567, L34568, L34569\nNo other Fresh Squeeze products are affected by this recall.\nConsumers who have purchased the above product are advised not to consume it. Please return it to the place of purchase for a full refund. Point-of-sale recall notices will be displayed in all retail stores selling this product.\nFor further information, contact Fresh Squeeze customer service at 1-800-123-4567.\nThis recall is being conducted in cooperation with the FDA.\nDate modified: 2020-10-15","organoleptic aspects","non-alcoholic beverages","off-taste","orange juice"
